id,product_id,reviewer_name,stars,title,body,created_at
1,4,Emma W. 61,3,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-03-13 23:24:01
2,4,Emma W. 51,1,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-01-06 16:31:47
3,5,Elena R. 87,4,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-03-05 10:42:23
4,5,Emma W. 62,5,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-06-07 19:29:02
5,5,Michael T. 32,4,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-03-05 13:07:44
6,5,Lisa C. 79,3,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-04-12 04:07:57
7,5,David K. 70,5,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-02-14 02:01:08
8,5,Sarah M. 58,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-01-30 22:42:31
9,5,Elena R. 52,5,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-06-09 15:37:10
10,5,John D. 78,4,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-01-30 12:11:17
11,5,Emma W. 59,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-03-02 03:23:52
12,5,Alex P. 65,5,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-01-10 21:29:33
13,5,David K. 40,5,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-03-15 09:10:22
14,5,Michael T. 19,4,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-01-25 03:31:12
15,5,Elena R. 84,4,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-04-07 05:45:57
16,5,Elena R. 12,1,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-03-03 06:15:43
17,5,Lisa C. 24,4,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-04-21 03:43:29
18,5,Michael T. 33,5,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-02-23 00:01:22
19,5,John D. 27,4,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2025-12-17 04:38:19
20,5,Elena R. 35,4,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-03-06 22:12:09
21,5,Michael T. 70,4,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-01-09 06:02:11
22,5,Lisa C. 73,5,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-03-07 01:13:41
23,5,Elena R. 88,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-05-22 22:15:23
24,5,Sarah M. 79,4,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-04-09 18:19:27
25,5,Elena R. 51,4,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-04-05 00:18:11
26,5,Michael T. 60,5,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-05-31 08:53:57
27,5,John D. 68,4,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-04-01 20:05:42
28,5,Elena R. 36,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2025-12-25 09:25:26
29,5,Michael T. 41,4,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-06-02 05:12:51
30,5,Alex P. 76,5,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-03-04 02:30:28
31,5,Alex P. 88,5,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-04-16 03:14:22
32,5,Emma W. 76,4,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-01-24 12:46:26
33,5,Elena R. 79,2,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-01-31 17:13:46
34,5,Elena R. 31,4,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-02-27 11:49:51
35,5,Emma W. 98,4,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-01-12 09:40:55
36,5,Sarah M. 55,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-03-16 14:55:17
37,5,Michael T. 23,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-05-15 11:47:39
38,5,Elena R. 30,4,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-02-11 20:02:42
39,5,Sarah M. 55,5,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2025-12-22 00:59:40
40,5,David K. 19,5,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-01-05 12:11:23
41,5,Alex P. 84,4,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-03-24 06:59:14
42,5,Lisa C. 17,5,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2025-12-18 06:29:38
43,5,Michael T. 17,5,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2025-12-24 20:13:05
44,5,Michael T. 28,4,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-04-22 12:26:28
45,5,Emma W. 12,4,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-03-21 12:44:16
46,5,Alex P. 65,4,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-01-05 23:53:00
47,5,John D. 92,4,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-05-04 19:38:51
48,5,Emma W. 45,4,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-05-22 17:26:32
49,5,John D. 10,4,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-01-17 04:38:40
50,5,David K. 31,5,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2026-03-09 11:58:55
51,5,John D. 96,5,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-03-09 07:15:13
52,5,Emma W. 99,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-03-31 17:04:18
53,5,Alex P. 91,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2025-12-22 10:48:16
54,5,Elena R. 79,4,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-03-11 23:05:16
55,5,David K. 87,5,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-02-21 23:05:17
56,5,John D. 72,4,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-01-05 03:11:47
57,5,Alex P. 78,4,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-04-23 02:01:54
58,5,Elena R. 13,5,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2025-12-20 13:59:46
59,5,David K. 78,5,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-04-24 05:30:03
60,5,Alex P. 67,4,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-01-17 22:32:49
61,5,Alex P. 47,5,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-06-05 13:42:46
62,5,Sarah M. 34,3,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2025-12-20 05:24:13
63,5,Alex P. 11,4,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2025-12-28 23:24:08
64,5,John D. 44,5,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-01-31 10:15:38
65,5,Lisa C. 89,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-06-07 21:25:13
66,5,Elena R. 43,5,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-04-10 20:04:20
67,5,Alex P. 56,4,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-02-14 22:24:25
68,5,Elena R. 21,4,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-04-24 19:59:28
69,5,Alex P. 11,4,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-05-26 07:24:52
70,5,Emma W. 89,4,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-01-28 11:03:55
71,5,John D. 67,4,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-02-28 21:49:23
72,7,Alex P. 64,2,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-02-19 00:54:38
73,7,Emma W. 58,2,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-04-14 08:14:32
74,7,Lisa C. 11,5,Absolutely loved it!,Exceeded my expectations. Build quality is phenomenal and it works perfectly.,2026-03-29 04:44:55
75,14,Alex P. 91,4,Great value for money,Solid product overall. Minor shipping delay but the item itself is excellent.,2026-02-28 14:14:49
76,15,David K. 69,2,Disappointed,Had higher hopes. Material feels a bit cheap and it didn't fit right.,2026-03-24 19:39:25
77,15,Michael T. 29,3,Average product,"It does what it says, but nothing spectacular. Decent for the price.",2025-12-31 16:07:08
78,15,John D. 55,1,Do not buy,Arrived broken. Customer service was slow to respond. Would not recommend.,2026-02-16 13:12:37
